date_key,full_date,year,quarter,month,month_name,week_of_year,day_of_month,day_of_week,day_name,is_weekend
20180101,2018-01-01,2018,1,1,January,1,1,2,Monday,false
20180102,2018-01-02,2018,1,1,January,1,2,3,Tuesday,false
20180103,2018-01-03,2018,1,1,January,1,3,4,Wednesday,false
20180104,2018-01-04,2018,1,1,January,1,4,5,Thursday,false
20180105,2018-01-05,2018,1,1,January,1,5,6,Friday,false
20180106,2018-01-06,2018,1,1,January,1,6,7,Saturday,true
20180107,2018-01-07,2018,1,1,January,1,7,1,Sunday,true
20180108,2018-01-08,2018,1,1,January,2,8,2,Monday,false
20180109,2018-01-09,2018,1,1,January,2,9,3,Tuesday,false
20180110,2018-01-10,2018,1,1,January,2,10,4,Wednesday,false
20180111,2018-01-11,2018,1,1,January,2,11,5,Thursday,false
20180112,2018-01-12,2018,1,1,January,2,12,6,Friday,false
20180113,2018-01-13,2018,1,1,January,2,13,7,Saturday,true
20180114,2018-01-14,2018,1,1,January,2,14,1,Sunday,true
20180115,2018-01-15,2018,1,1,January,3,15,2,Monday,false
20180116,2018-01-16,2018,1,1,January,3,16,3,Tuesday,false
20180117,2018-01-17,2018,1,1,January,3,17,4,Wednesday,false
20180118,2018-01-18,2018,1,1,January,3,18,5,Thursday,false
20180119,2018-01-19,2018,1,1,January,3,19,6,Friday,false
20180120,2018-01-20,2018,1,1,January,3,20,7,Saturday,true
20180121,2018-01-21,2018,1,1,January,3,21,1,Sunday,true
20180122,2018-01-22,2018,1,1,January,4,22,2,Monday,false
20180123,2018-01-23,2018,1,1,January,4,23,3,Tuesday,false
20180124,2018-01-24,2018,1,1,January,4,24,4,Wednesday,false
20180125,2018-01-25,2018,1,1,January,4,25,5,Thursday,false
20180126,2018-01-26,2018,1,1,January,4,26,6,Friday,false
20180127,2018-01-27,2018,1,1,January,4,27,7,Saturday,true
20180128,2018-01-28,2018,1,1,January,4,28,1,Sunday,true
20180129,2018-01-29,2018,1,1,January,5,29,2,Monday,false
20180130,2018-01-30,2018,1,1,January,5,30,3,Tuesday,false
20180131,2018-01-31,2018,1,1,January,5,31,4,Wednesday,false
20180201,2018-02-01,2018,1,2,February,5,1,5,Thursday,false
20180202,2018-02-02,2018,1,2,February,5,2,6,Friday,false
20180203,2018-02-03,2018,1,2,February,5,3,7,Saturday,true
20180204,2018-02-04,2018,1,2,February,5,4,1,Sunday,true
20180205,2018-02-05,2018,1,2,February,6,5,2,Monday,false
20180206,2018-02-06,2018,1,2,February,6,6,3,Tuesday,false
20180207,2018-02-07,2018,1,2,February,6,7,4,Wednesday,false
20180208,2018-02-08,2018,1,2,February,6,8,5,Thursday,false
20180209,2018-02-09,2018,1,2,February,6,9,6,Friday,false
20180210,2018-02-10,2018,1,2,February,6,10,7,Saturday,true
20180211,2018-02-11,2018,1,2,February,6,11,1,Sunday,true
20180212,2018-02-12,2018,1,2,February,7,12,2,Monday,false
20180213,2018-02-13,2018,1,2,February,7,13,3,Tuesday,false
20180214,2018-02-14,2018,1,2,February,7,14,4,Wednesday,false
20180215,2018-02-15,2018,1,2,February,7,15,5,Thursday,false
20180216,2018-02-16,2018,1,2,February,7,16,6,Friday,false
20180217,2018-02-17,2018,1,2,February,7,17,7,Saturday,true
20180218,2018-02-18,2018,1,2,February,7,18,1,Sunday,true
20180219,2018-02-19,2018,1,2,February,8,19,2,Monday,false
20180220,2018-02-20,2018,1,2,February,8,20,3,Tuesday,false
20180221,2018-02-21,2018,1,2,February,8,21,4,Wednesday,false
20180222,2018-02-22,2018,1,2,February,8,22,5,Thursday,false
20180223,2018-02-23,2018,1,2,February,8,23,6,Friday,false
20180224,2018-02-24,2018,1,2,February,8,24,7,Saturday,true
20180225,2018-02-25,2018,1,2,February,8,25,1,Sunday,true
20180226,2018-02-26,2018,1,2,February,9,26,2,Monday,false
20180227,2018-02-27,2018,1,2,February,9,27,3,Tuesday,false
20180228,2018-02-28,2018,1,2,February,9,28,4,Wednesday,false
20180301,2018-03-01,2018,1,3,March,9,1,5,Thursday,false
20180302,2018-03-02,2018,1,3,March,9,2,6,Friday,false
20180303,2018-03-03,2018,1,3,March,9,3,7,Saturday,true
20180304,2018-03-04,2018,1,3,March,9,4,1,Sunday,true
20180305,2018-03-05,2018,1,3,March,10,5,2,Monday,false
20180306,2018-03-06,2018,1,3,March,10,6,3,Tuesday,false
20180307,2018-03-07,2018,1,3,March,10,7,4,Wednesday,false
20180308,2018-03-08,2018,1,3,March,10,8,5,Thursday,false
20180309,2018-03-09,2018,1,3,March,10,9,6,Friday,false
20180310,2018-03-10,2018,1,3,March,10,10,7,Saturday,true
20180311,2018-03-11,2018,1,3,March,10,11,1,Sunday,true
20180312,2018-03-12,2018,1,3,March,11,12,2,Monday,false
20180313,2018-03-13,2018,1,3,March,11,13,3,Tuesday,false
20180314,2018-03-14,2018,1,3,March,11,14,4,Wednesday,false
20180315,2018-03-15,2018,1,3,March,11,15,5,Thursday,false
20180316,2018-03-16,2018,1,3,March,11,16,6,Friday,false
20180317,2018-03-17,2018,1,3,March,11,17,7,Saturday,true
20180318,2018-03-18,2018,1,3,March,11,18,1,Sunday,true
20180319,2018-03-19,2018,1,3,March,12,19,2,Monday,false
20180320,2018-03-20,2018,1,3,March,12,20,3,Tuesday,false
20180321,2018-03-21,2018,1,3,March,12,21,4,Wednesday,false
20180322,2018-03-22,2018,1,3,March,12,22,5,Thursday,false
20180323,2018-03-23,2018,1,3,March,12,23,6,Friday,false
20180324,2018-03-24,2018,1,3,March,12,24,7,Saturday,true
20180325,2018-03-25,2018,1,3,March,12,25,1,Sunday,true
20180326,2018-03-26,2018,1,3,March,13,26,2,Monday,false
20180327,2018-03-27,2018,1,3,March,13,27,3,Tuesday,false
20180328,2018-03-28,2018,1,3,March,13,28,4,Wednesday,false
20180329,2018-03-29,2018,1,3,March,13,29,5,Thursday,false
20180330,2018-03-30,2018,1,3,March,13,30,6,Friday,false
20180331,2018-03-31,2018,1,3,March,13,31,7,Saturday,true
20180401,2018-04-01,2018,2,4,April,13,1,1,Sunday,true
20180402,2018-04-02,2018,2,4,April,14,2,2,Monday,false
20180403,2018-04-03,2018,2,4,April,14,3,3,Tuesday,false
20180404,2018-04-04,2018,2,4,April,14,4,4,Wednesday,false
