asset_symbol,trade_date,open_price,high_price,low_price,close_price,volume,market_cap,daily_return,price_range,source_file,ingestion_ts,processed_ts
BTC,2024-02-28,57071.09805,63913.13181,56738.4242,62504.78925,83239156760,1.22762E12,0.09520916,7174.70761,BITCOIN24.csv,2026-04-23T05:08:55.128944+00:00,2026-04-23T15:47:56.333+07:00
BTC,2024-02-27,54519.36207,57537.83966,54484.20014,57085.37231,49756832031,1.12113E12,0.04706604,3053.63952,BITCOIN24.csv,2026-04-23T05:08:55.128944+00:00,2026-04-23T15:47:56.333+07:00
BTC,2024-02-26,51730.53979,54938.17438,50931.03161,54522.40154,34074411896,1.07074E12,0.05396931,4007.14277,BITCOIN24.csv,2026-04-23T05:08:55.128944+00:00,2026-04-23T15:47:56.333+07:00
BTC,2024-02-25,51565.21536,51950.02724,51306.17017,51733.2366,15413239245,1.01593E12,0.00325842,643.85707,BITCOIN24.csv,2026-04-23T05:08:55.128944+00:00,2026-04-23T15:47:56.333+07:00
BTC,2024-02-24,50736.37007,51684.19452,50585.44589,51571.10311,15174077879,1.01269E12,0.01645236,1098.74863,BITCOIN24.csv,2026-04-23T05:08:55.128944+00:00,2026-04-23T15:47:56.333+07:00
BTC,2024-02-23,51283.90457,51497.93219,50561.77586,50731.94919,21427078270,9.96166E11,-0.01076274,936.15633,BITCOIN24.csv,2026-04-23T05:08:55.128944+00:00,2026-04-23T15:47:56.333+07:00
BTC,2024-02-22,51854.64522,52009.61249,50926.29339,51304.97436,25413900611,1.00737E12,-0.01060022,1083.3191,BITCOIN24.csv,2026-04-23T05:08:55.128944+00:00,2026-04-23T15:47:56.333+07:00
BTC,2024-02-21,52273.53578,52368.81674,50671.75866,51839.18053,28624907020,1.01781E12,-0.00830928,1697.05808,BITCOIN24.csv,2026-04-23T05:08:55.128944+00:00,2026-04-23T15:47:56.333+07:00
BTC,2024-02-20,51777.72851,52945.05257,50792.31125,52284.87356,33353758256,1.02652E12,0.00979466,2152.74132,BITCOIN24.csv,2026-04-23T05:08:55.128944+00:00,2026-04-23T15:47:56.333+07:00
BTC,2024-02-19,52134.81221,52483.32555,51711.81923,51779.14406,21362184346,1.01654E12,-0.00682209,771.50632,BITCOIN24.csv,2026-04-23T05:08:55.128944+00:00,2026-04-23T15:47:56.333+07:00
BTC,2024-02-18,51661.97011,52356.96316,51233.70883,52122.54546,17595377311,1.02324E12,0.00891517,1123.25433,BITCOIN24.csv,2026-04-23T05:08:55.128944+00:00,2026-04-23T15:47:56.333+07:00
BTC,2024-02-17,52161.67548,52191.91409,50669.66868,51662.99537,20009091006,1.01418E12,-0.00956028,1522.24541,BITCOIN24.csv,2026-04-23T05:08:55.128944+00:00,2026-04-23T15:47:56.333+07:00
BTC,2024-02-16,51937.72691,52537.97023,51641.36722,52160.20283,28180567298,1.02389E12,0.00428351,896.60301,BITCOIN24.csv,2026-04-23T05:08:55.128944+00:00,2026-04-23T15:47:56.333+07:00
BTC,2024-02-15,51836.78358,52820.06693,51371.62748,51938.55632,38564360533,1.0195E12,0.00196333,1448.43945,BITCOIN24.csv,2026-04-23T05:08:55.128944+00:00,2026-04-23T15:47:56.333+07:00
